statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL053;53 years;27.66;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL066;66 years;17.21;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL040;40 years;39.69;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL098;98 years;2.33;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL072;72 years;15.45;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL085;85 years;6.52;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL018;18 years;61.05;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL091;91 years;3.44;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL036;36 years;47.97;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL049;49 years;35.43;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL023;23 years;60.78;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL069;69 years;15.09;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL056;56 years;25.06;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL010;10 years;73.67;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL030;30 years;49.34;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL043;43 years;36.84;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL097;97 years;2.49;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL084;84 years;7.07;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL008;8 years;70.97;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL071;71 years;16.24;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL048;48 years;36.38;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL100;100 years;1.83;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL090;90 years;3.72;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL035;35 years;48.95;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL055;55 years;25.92;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL022;22 years;61.77;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL068;68 years;15.78;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL042;42 years;37.79;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL096;96 years;2.66;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL070;70 years;17.02;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL083;83 years;7.65;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL007;7 years;71.96;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL027;27 years;52.26;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL014;14 years;65.0;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL034;34 years;49.93;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL047;47 years;37.33;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL001;1 year;77.9;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL021;21 years;62.76;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL076;76 years;10.47;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL020;20 years;63.75;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL089;89 years;4.03;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL063;63 years;19.43;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL095;95 years;2.86;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL050;50 years;30.34;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL082;82 years;8.26;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL081;81 years;8.89;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL039;39 years;40.64;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL013;13 years;66.0;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL059;59 years;26.27;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL026;26 years;53.24;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL046;46 years;38.28;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL000;0 years;78.63;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL033;33 years;50.91;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL088;88 years;4.36;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL075;75 years;11.1;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL062;62 years;20.2;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL094;94 years;3.09;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL080;80 years;9.56;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL016;16 years;63.02;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL003;3 years;75.93;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL058;58 years;27.16;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL078;78 years;9.24;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL032;32 years;51.9;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL045;45 years;39.24;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL065;65 years;17.94;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL031;31 years;52.88;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL052;52 years;28.54;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL009;9 years;74.67;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL017;17 years;62.03;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL093;93 years;3.34;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL015;15 years;64.01;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL092;92 years;3.62;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL028;28 years;51.29;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL002;2 years;76.92;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL057;57 years;28.05;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL044;44 years;40.2;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL030;30 years;53.86;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL043;43 years;41.16;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL077;77 years;9.85;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL051;51 years;29.44;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL064;64 years;18.68;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL008;8 years;75.67;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL029;29 years;50.31;years;LEB007;Average life expectancy [e(x)]
