statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT049;49 years;606335;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT083;83 years;8109;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT008;8 years;313372;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT023;23 years;443482;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT076;76 years;36233;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT018;18 years;38050;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT072;72 years;304546;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT005;5 years;46555;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT064;64 years;1040683;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT029;29 years;576321;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT050;50 years;154943;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT063;63 years;72824;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT051;51 years;1338590;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT016;16 years;393196;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT012;12 years;658680;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT003;3 years;406266;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT026;26 years;760911;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT039;39 years;838729;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT078;78 years;862004;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT065;65 years;1007673;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT080;80 years;437990;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT082;82 years;9953;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT037;37 years;524226;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT011;11 years;362776;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT009;9 years;316307;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT024;24 years;445093;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT071;71 years;344549;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT019;19 years;450003;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT084;84 years;192803;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT041;41 years;991535;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT006;6 years;380582;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT073;73 years;47427;number;BEV028;Average population
